time,frequency,confidence
0.000,0.000,nan
0.100,430.088,0.059360
0.200,660.256,0.060855
0.300,537.305,0.064148
0.400,656.577,0.046429
0.500,84.649,0.050670
0.600,231.451,0.073474
0.700,268.953,0.008277
0.800,718.675,0.050723
0.900,42.434,0.186857
1.000,1291.174,0.012509
1.100,33.231,0.489445
1.200,32.756,0.057162
1.300,496.879,0.938441
1.400,499.166,0.923490
1.500,499.545,0.927956
1.600,499.375,0.926061
1.700,499.707,0.945360
1.800,499.638,0.951447
1.900,499.140,0.942354
2.000,497.261,0.958578
2.100,498.355,0.914264
2.200,594.082,0.938233
2.300,596.209,0.931495
2.400,595.190,0.929056
2.500,593.764,0.916770
2.600,593.922,0.915599
2.700,744.985,0.174307
2.800,745.639,0.689333
2.900,1497.769,0.680339
3.000,1499.814,0.554870
3.100,1497.576,0.569410
3.200,749.655,0.784210
3.300,751.445,0.890044
3.400,753.281,0.881711
3.500,753.550,0.871157
3.600,752.434,0.827030
3.700,753.194,0.848402
3.800,752.550,0.844033
3.900,752.402,0.855290
4.000,752.652,0.804330
4.100,754.182,0.862083
4.200,748.664,0.812421
4.300,1503.072,0.567765
4.400,750.719,0.855193
4.500,750.365,0.687999
4.600,752.539,0.804123
4.700,745.975,0.838151
4.800,754.905,0.783002
4.900,744.008,0.880709
5.000,756.368,0.868014
5.100,748.282,0.877177
5.200,752.897,0.850140
5.300,749.580,0.906910
5.400,748.675,0.845979
5.500,754.093,0.896180
5.600,750.752,0.915110
5.700,755.365,0.878282
5.800,751.669,0.899140
5.900,755.461,0.579841
6.000,752.856,0.909392
6.100,753.858,0.820993
6.200,752.941,0.889857
6.300,751.250,0.856343
6.400,754.632,0.846591
6.500,447.800,0.937723
6.600,448.144,0.927880
6.700,447.575,0.935295
6.800,446.754,0.950410
6.900,446.386,0.947757
7.000,446.674,0.907607
7.100,446.691,0.928534
7.200,459.285,0.737422
7.300,564.202,0.946552
7.400,563.623,0.955532
7.500,565.659,0.955678
7.600,565.366,0.958170
7.700,565.217,0.956915
7.800,565.911,0.946255
7.900,566.962,0.873135
8.000,745.055,0.602364
8.100,744.606,0.876410
8.200,748.181,0.840258
8.300,748.644,0.849162
8.400,744.722,0.893565
8.500,746.591,0.546463
8.600,748.909,0.836163
8.700,748.060,0.846290
8.800,746.536,0.848001
8.900,748.920,0.565986
9.000,745.081,0.755641
9.100,748.304,0.676845
9.200,746.321,0.636636
9.300,749.827,0.718643
9.400,748.911,0.804616
9.500,747.394,0.787481
9.600,750.503,0.805171
9.700,748.312,0.877227
9.800,753.479,0.896842
9.900,748.347,0.879368
10.000,751.239,0.897320
10.100,752.282,0.904278
10.200,748.291,0.905351
10.300,751.295,0.899582
10.400,750.268,0.908516
10.500,751.780,0.890465
10.600,751.944,0.916096
10.700,750.869,0.906736
10.800,750.957,0.907121
10.900,750.759,0.844256
11.000,756.983,0.866009
11.100,381.684,0.560622
11.200,397.220,0.969824
11.300,397.355,0.972307
11.400,397.166,0.975101
11.500,396.685,0.964682
11.600,396.580,0.965569
11.700,397.935,0.971019
11.800,394.829,0.947344
11.900,500.271,0.941918
12.000,499.358,0.941968
12.100,499.588,0.949731
12.200,499.248,0.945911
12.300,497.332,0.955125
12.400,667.566,0.851581
12.500,666.866,0.857142
12.600,666.529,0.887120
12.700,663.625,0.942009
12.800,664.880,0.949077
12.900,664.538,0.954310
13.000,664.996,0.940207
13.100,663.161,0.869038
13.200,663.033,0.958677
13.300,663.606,0.958886
13.400,661.959,0.968750
13.500,664.978,0.945455
13.600,662.881,0.949395
13.700,665.118,0.933333
13.800,661.824,0.947183
13.900,667.530,0.921068
14.000,663.357,0.957585
14.100,667.439,0.904749
14.200,662.332,0.966214
14.300,666.132,0.910794
14.400,1322.264,0.741351
14.500,666.285,0.929577
14.600,666.636,0.918757
14.700,672.273,0.782345
14.800,698.581,0.876985
14.900,700.080,0.911069
15.000,700.335,0.892762
15.100,700.189,0.838708
15.200,1404.404,0.652788
15.300,1404.198,0.857613
15.400,1403.692,0.950897
15.500,1403.878,0.959134
15.600,701.702,0.841706
15.700,745.662,0.577483
15.800,743.722,0.660700
15.900,745.879,0.828135
16.000,743.189,0.720649
16.100,748.092,0.606077
16.200,746.120,0.717490
16.300,751.671,0.710739
16.400,748.417,0.851224
16.500,748.171,0.719330
16.600,747.319,0.878622
16.700,751.124,0.900782
16.800,751.658,0.912163
16.900,375.526,0.933436
17.000,375.224,0.918648
17.100,374.855,0.917695
17.200,374.187,0.860505
17.300,373.990,0.797046
17.400,373.618,0.736801
17.500,374.081,0.748879
17.600,374.212,0.813664
17.700,374.108,0.805911
17.800,374.060,0.840454
17.900,373.600,0.841148
18.000,374.724,0.921518
18.100,374.145,0.917478
18.200,375.255,0.950195
18.300,374.449,0.944117
18.400,372.867,0.876670
18.500,374.205,0.937557
18.600,374.424,0.937691
18.700,373.980,0.928965
18.800,374.847,0.944393
18.900,373.265,0.855188
19.000,374.943,0.953526
19.100,374.435,0.937014
19.200,374.146,0.934875
19.300,375.174,0.950871
19.400,373.852,0.902739
19.500,374.700,0.946361
19.600,374.730,0.933545
19.700,374.509,0.929214
19.800,374.782,0.939986
19.900,374.193,0.910515
20.000,371.979,0.735916
